,permno,bm,pe_exi,npm,cfm,roa,roe,GProf,totdebt_invcap,capital_ratio,debt_ebitda,lt_debt,cash_debt,fcf_ocf,de_ratio,at_turn,staff_sale,ptb
0,54594,1.119,-17.527,-0.037,0.036,0.029,-0.054,0.123,0.319,0.279,6.819,0.373,-0.064,-6559227240.681702,1.037,0.855,0.0,0.962
1,21020,0.151,6.059,0.119,0.157,0.191,1.471,0.325,0.929,0.851,2.188,0.399,0.074,0.132,14.358,0.888,0.225,7.032
2,11499,1.038,-384.0,-0.002,0.04,0.103,-0.003,0.216,0.418,0.379,3.222,0.434,0.07,0.929,1.405,0.722,0.0,0.904
3,81912,0.988,10.033,0.164,0.197,0.096,0.096,0.144,0.0,0.0,0.0,0.0,0.604,0.718,0.121,0.519,0.0,0.938
4,27991,1.057,17.911,0.115,0.279,0.089,0.056,0.088,0.47,0.424,2.893,0.329,0.112,-0.051,2.242,0.239,0.0,0.951
5,10517,0.575,12.038,0.044,0.451,0.633,0.092,1.151,0.3,0.27,0.352,0.433,-0.04,0.715,0.852,1.301,0.0,1.079
6,20482,0.352,26.892,0.124,0.197,0.111,0.113,0.298,0.309,0.194,1.773,0.255,0.187,0.66,0.94,0.483,0.0,3.173
7,10656,0.328,20.754,0.069,0.091,0.151,0.157,0.318,0.31,0.289,1.512,0.431,0.035,0.942,0.945,1.132,0.0,3.006
8,60038,0.753,12.701,0.045,0.063,0.12,0.126,0.508,0.401,0.401,2.773,0.654,0.117,0.247,1.023,1.333,0.0,1.342
9,10779,0.578,377.966,0.023,0.057,0.052,0.019,0.338,0.0,0.0,0.0,0.0,1.058,-0.502,0.123,0.739,0.0,1.55
10,61487,0.936,377.966,0.0,0.01,0.068,0.001,0.107,0.0,0.0,0.0,0.0,0.257,-0.074,1.007,7.591,0.0,1.001
11,61241,0.09,-2.412,-0.216,-0.173,-0.029,-3.743,0.395,1.146,1.035,-20.663,0.578,-0.027,-6559227240.681702,-51.568,1.238,0.0,12.155
12,88845,0.434,16.583,0.038,0.049,0.099,0.145,0.298,0.35,0.34,1.518,0.201,0.087,0.87,2.565,1.105,0.078,2.28
13,28222,0.297,22.128,0.129,0.228,0.159,0.155,0.223,0.519,0.353,2.095,0.393,0.242,0.338,1.387,0.562,0.0,3.439
14,11368,0.775,10.662,0.03,0.036,0.128,0.12,0.458,0.085,0.085,0.528,0.213,0.584,0.805,0.437,2.803,0.0,1.775
15,28804,0.309,13.07,0.146,0.202,0.248,0.275,0.329,0.265,0.224,0.483,0.153,0.254,0.413,1.888,0.862,0.233,3.252
16,11587,0.203,24.964,0.198,0.257,0.308,0.195,0.49,0.0,0.0,0.0,0.0,1.423,0.736,0.153,0.895,0.0,4.995
17,11691,0.458,17.987,0.057,0.098,0.197,0.15,0.284,0.541,0.513,1.499,0.35,0.16,0.857,3.015,1.166,0.0,2.418
18,11790,0.583,19.74,0.103,0.198,0.143,0.091,0.127,0.545,0.539,4.367,0.714,0.12,0.647,1.638,0.461,0.0,1.627
19,71271,1.017,14.094,0.11,0.145,0.042,0.072,0.042,0.189,0.189,1.788,0.11,0.023,0.929,2.125,0.209,0.0,0.999
20,10145,0.25,18.138,0.117,0.142,0.169,0.244,0.279,0.404,0.243,1.246,0.206,0.183,0.791,1.553,0.846,0.0,4.372
21,45911,0.197,18.739,0.245,0.305,0.365,0.281,0.462,0.0,0.0,0.0,0.0,1.772,0.567,0.177,0.974,0.0,4.66
22,24643,0.991,80.027,0.023,0.084,0.105,0.044,0.138,0.383,0.42,2.32,0.4,0.074,0.425,1.81,0.647,0.0,1.032
23,28484,1.602,-11.461,-0.155,0.382,0.078,-0.049,0.11,0.219,0.219,2.076,0.408,0.275,-1.05,0.686,0.21,0.0,0.604
24,81073,0.349,17.729,0.135,0.258,0.159,0.177,0.155,0.584,0.495,2.098,0.382,0.162,-0.172,2.566,0.449,0.0,2.835
25,47730,0.644,30.287,0.011,0.023,0.07,0.054,0.242,0.136,0.136,1.036,0.138,0.127,0.818,1.134,2.256,0.0,1.555
26,93330,0.524,13.23,0.134,0.252,0.031,0.147,0.031,0.353,0.353,1.974,0.07,0.025,0.97,7.865,0.13,0.0,1.992
27,12758,0.358,29.869,0.046,0.125,0.138,0.075,0.249,0.601,0.595,3.018,0.584,0.107,0.627,2.518,0.661,0.0,2.33
28,24109,1.044,16.649,0.103,0.234,0.09,0.061,0.089,0.591,0.498,3.803,0.399,0.108,0.046,2.493,0.276,0.0,0.982
29,59176,0.292,12.554,0.166,0.196,0.064,0.27,0.064,0.791,0.702,5.691,0.374,0.079,0.881,6.293,0.22,0.173,3.209
30,57904,0.694,5.245,0.119,0.132,0.036,0.132,0.037,0.228,0.232,1.088,0.054,0.065,1.0,5.655,0.178,0.0,1.481
31,66800,1.397,17.91,0.08,0.158,0.027,0.044,0.028,0.23,0.226,2.199,0.075,0.012,1.0,3.894,0.115,0.0,0.774
32,13507,1.775,11.068,0.084,0.101,0.014,0.052,0.014,0.026,0.026,0.363,0.006,0.029,0.892,4.249,0.126,0.0,0.59
33,49322,1.126,-22.476,-0.02,0.252,0.045,-0.02,0.052,0.756,0.844,14.931,0.818,-0.048,-6559227240.681702,6.62,0.113,0.0,0.713
34,58560,0.557,96.233,0.027,0.061,0.05,0.021,0.318,0.002,0.0,0.024,0.001,-0.261,0.929,0.281,0.642,0.0,2.09
35,13769,2.264,-5.75,-0.106,0.326,0.145,-0.072,0.209,0.629,0.487,3.169,0.57,0.164,0.25,1.665,0.274,0.0,0.423
36,13777,0.321,29.086,0.091,0.143,0.145,0.109,0.478,0.0,0.0,0.0,0.0,0.242,0.929,0.418,0.849,0.0,2.825
37,11144,0.871,77.833,0.019,0.095,0.05,0.019,0.267,0.267,0.252,3.941,0.403,-0.161,0.823,0.838,0.587,0.0,1.391
38,85257,0.317,21.522,0.151,0.187,0.168,0.152,0.237,0.363,0.31,1.602,0.469,0.228,0.899,0.956,0.618,0.0,3.233
39,14008,0.298,19.371,0.3,0.397,0.149,0.224,0.275,0.545,0.53,2.989,0.7,0.198,0.937,1.609,0.305,0.0,3.939
40,18075,1.797,-26.308,-0.016,0.031,0.026,-0.019,0.094,0.064,0.0,1.001,0.0,0.06,0.453,1.545,0.491,0.0,0.523
41,38746,2.58,-7.373,-0.107,-0.207,-0.021,-0.051,0.035,0.164,0.162,-5.832,0.364,0.219,0.887,0.53,0.312,0.0,0.383
42,60871,0.283,25.145,0.203,0.268,0.185,0.135,0.339,0.157,0.089,0.679,0.251,0.456,0.83,0.392,0.493,0.0,3.257
43,14198,0.49,33.441,0.058,0.111,0.104,0.06,0.406,0.0,0.0,0.0,0.0,0.401,0.737,0.181,0.866,0.0,1.923
44,83112,1.006,15.207,0.014,0.032,0.051,0.064,0.202,0.456,0.315,4.753,0.253,-0.007,-6559227240.681702,1.82,1.906,0.0,0.968
45,39490,0.798,-1.688,-1.258,0.875,-0.084,-0.327,-0.087,0.348,0.352,-2.479,0.455,0.304,-0.667,1.192,0.188,0.0,1.424
46,14526,0.268,23.519,0.056,0.088,0.188,0.141,0.429,0.053,0.053,0.193,0.098,0.299,0.708,0.571,1.597,0.0,3.097
47,14593,0.233,11.416,0.228,0.277,0.313,0.388,0.358,0.373,0.309,0.789,0.312,0.475,0.862,1.434,0.895,0.0,4.069
48,14702,0.394,16.67,0.143,0.181,0.145,0.177,0.283,0.415,0.305,2.202,0.434,0.151,0.815,1.011,0.678,0.0,2.777
49,11581,0.588,74.875,0.016,0.06,0.112,0.022,0.3,0.468,0.465,3.01,0.606,0.134,0.825,1.432,0.715,0.0,1.901
50,14761,0.506,15.885,0.077,0.112,0.205,0.145,0.279,0.386,0.35,1.754,0.658,0.21,0.257,0.818,1.072,0.0,2.004
51,10516,0.784,12.736,0.025,0.038,0.081,0.088,0.132,0.264,0.235,1.887,0.248,0.203,0.285,1.236,1.726,0.0,1.12
52,77595,0.961,10.642,0.02,0.054,0.152,0.087,0.148,0.237,0.188,0.954,0.218,0.254,0.491,1.06,2.281,0.471,0.86
53,29209,0.804,11.528,0.02,0.027,0.089,0.11,0.253,0.38,0.374,2.389,0.316,0.081,0.74,1.893,1.922,0.0,1.219
