PERMNO,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,R0,R1,R2,R3,R4
10026,-2.6778256578708234e-06,3.113665951311387e-07,-1.2373347964186905e-06,-9.966010262249362e-07,-2.3661268431686783e-06,5.351886719460665e-07,-1.431051319518979e-06,-8.510193019334397e-07,2.980969352305518e-06,-4.87011221627174e-06,2.1549116099850735e-06,-1.0813264084355667e-05,-7.446612596528682e-06,-9.745306134173005e-06,-6.001559477741127e-07,-5.099129257372712e-14,-1.2088657657455992e-11,-0.0003142857366621697,0.00123195172083204,-0.00011974473799074613
10032,-2.6259848631493164e-06,-1.8089656304536427e-06,9.46228990884639e-07,7.762409356170899e-07,9.463455517339828e-07,6.947888078891517e-06,1.9207731421157425e-06,2.478089142912577e-06,1.0321531440528166e-05,1.5300064762168013e-05,-7.0243674030230305e-06,-3.641544649355842e-06,-2.821714141137732e-06,-2.401960755686434e-05,4.359397022795863e-05,6.007102440550477e-15,-4.3546949891325415e-12,-0.0001375758962491973,0.00048761771863799056,0.00024791599765364066
10044,-2.774544792022978e-06,7.10260664836791e-06,2.8524100285652945e-06,2.1083099738996467e-06,2.2288706071457373e-06,-3.5460141402943394e-06,1.2415381009132663e-06,-2.0724886003696384e-05,6.03188727018274e-07,-5.6847872882423664e-06,2.2078777055634507e-07,-2.928286556700279e-08,-1.3522763051831976e-05,-2.247576786785384e-05,-6.040083033682063e-06,-1.9324825356722875e-14,-4.92617004952819e-12,-0.00018438935635306308,0.0006647250370826282,6.917692585565322e-05
10104,-1.8093672158700286e-06,-2.424858339022349e-06,4.2176846959751785e-07,-1.2908008039303605e-06,2.586485551624534e-07,3.930599649917734e-06,-1.913988385861179e-07,-1.8995094193122138e-06,-6.181321213019742e-06,2.7501152412825315e-06,-8.403849365058185e-06,-7.68563226606488e-06,-4.393509151031578e-06,-1.3389288912875682e-05,-6.965856818436096e-07,9.639786965032473e-15,-5.02016407292728e-12,-0.00017300396923031457,0.0006572522559470055,0.00027022188850552405
10107,-2.67812980199651e-06,3.273499526062693e-06,-4.078460847588183e-06,-2.2397142759046373e-06,8.09475236939347e-06,6.239436338920551e-07,1.3573265590105223e-06,-1.3744996582895597e-06,6.426802443488528e-06,4.893627919762024e-06,4.0688692957012124e-07,1.2490418633218388e-05,-1.7953221649652518e-06,-3.7917735940903746e-06,9.768741430567946e-07,-4.131015537933188e-14,-1.353126344772534e-11,-0.0003655711608342477,0.0014229067889258325,0.0001885995719164488
10116,-2.880426821839913e-06,1.4368133655805008e-05,-3.5091632540297505e-06,1.879239324932747e-05,7.570011329415965e-06,-1.811577612074672e-05,-8.910308508284689e-06,2.5064427983234657e-05,-1.5361694315747983e-05,-2.9587009916247463e-05,-1.890268982228298e-05,5.876212061470498e-06,1.759701592224389e-05,-1.861323809022198e-05,5.015969247698422e-05,8.68130701831479e-06,-0.035892125910122995,0.001296187149337004,0.010346986563621569,0.0015465546614087367
10138,-2.6284295748609366e-06,-8.289935549008439e-08,-3.2708780412771002e-06,1.1662020165396827e-06,8.320142310087412e-07,-7.715744864516789e-07,1.914697796431009e-06,-3.17867531754392e-06,-8.873273838909108e-06,1.6191892788065116e-07,-6.595142263540809e-07,-3.882289328797355e-06,-1.1427737981239804e-05,-1.2745262415666573e-05,-2.95363876117988e-06,-3.704091380190251e-14,-5.7458564401403224e-12,-0.0001678146790661748,0.0005754208983654895,-0.00038245881165354365
10145,-1.837549810827163e-06,2.843709564322906e-07,-3.4174051753856633e-06,1.1865746261275684e-07,3.550261204133308e-06,4.218960495164672e-06,5.358297053927643e-06,2.1200705983704463e-07,-1.8792371160550225e-06,7.497797025684568e-06,-3.138393096666727e-06,-2.4554283352462395e-06,-1.2361936593160206e-05,-1.3674288613425066e-05,2.196662608725168e-06,-1.2203073270397043e-14,-6.282512957237364e-12,-0.0001940435033732278,0.0006929668983088514,0.00040458395070370746
10158,4.7479704629748e-06,1.6610710415359717e-05,-5.50692816235503e-06,-7.985650646180704e-06,1.5984438741900054e-05,-3.3849655481618037e-07,4.095980421725281e-06,4.5376803970002085e-07,4.174487255899249e-06,-7.923831611565054e-06,-1.2724563757573965e-05,-3.9742608051445396e-05,-8.002224420497191e-06,-8.675131077812391e-06,3.1445143065592686e-05,1.8755432326151916e-13,-6.20189028804508e-10,-0.0002854972013728828,0.0011212474439134025,0.0003868281595812263
10180,-1.973970345007482e-06,-3.1638944597773107e-07,-3.76842558733654e-06,9.445753073188849e-06,-3.204711720184689e-06,-8.678585713239422e-06,-5.281116677483388e-05,-1.2186444041568057e-05,7.45321224141304e-06,-1.1077599380650395e-05,8.239836235465343e-06,2.870924912243594e-06,-4.608059056388582e-05,-1.0926866890161816e-05,2.0866011514141338e-05,-6.439453059270655e-15,-1.303125593996978e-11,-0.0003448470797359331,0.0012911610266025948,0.0010185979811676961
10200,3.222801878311088e-06,3.4736926791288978e-06,-3.0565558156546506e-06,-1.1097418111889215e-06,-1.4000693242285474e-05,-9.86590653279213e-06,-4.718707406237802e-07,1.7869135239160878e-05,1.5299353508326724e-05,-7.76961029684022e-06,2.5855917909007696e-05,-1.3090246662027805e-05,-2.0663924614144948e-05,-1.1991137389374036e-05,7.529779379882564e-07,-1.5839587425277293e-13,-4.309655530622831e-11,-0.0010589686415787521,0.004344984037617592,-0.00018518732454007235
10220,-1.0899596556495955e-06,-6.520483025577805e-06,2.3150051268937934e-06,1.4022426000029016e-06,1.2761195511699617e-05,-1.001621021248858e-06,4.822863622926032e-06,-8.859598082674588e-06,-4.4944434596050123e-07,8.918633370912334e-06,-1.963725333790233e-05,5.079577343733274e-07,-7.851010933719387e-06,-1.9683859069304565e-05,2.0507364035707915e-06,-4.4840612029267565e-14,-1.889874809683509e-11,-0.0004682884299174626,0.0017378540998729264,0.0005318932065385477
10252,-2.7837211253470527e-06,-5.13528867289122e-07,-5.841547995342943e-07,7.609711794251138e-07,4.451360899647954e-08,3.5644689003552783e-07,4.835058849885388e-06,-6.122774222257949e-06,-2.1405769338484838e-07,8.988572163631557e-06,-8.076016955899848e-06,-2.3075201886907777e-06,-8.860395116918343e-06,-8.813051183350764e-06,3.2197915444178526e-07,6.543424522523148e-15,-7.338902917542036e-12,-0.0002098107052125757,0.0007230396572729743,0.003550903897590754
10258,4.49684840896326e-07,1.5228361319415821e-05,-4.314086097987086e-06,2.523969556117299e-05,1.132157721735238e-05,-7.552617400074301e-06,-2.217997273363577e-05,-1.098967053592522e-05,2.5926664132675638e-08,1.442612615131646e-05,-4.0839577983043716e-05,-2.1868247989957357e-05,-8.207329721997196e-06,-2.276629785168765e-05,5.107763079596435e-05,8.681307343831168e-06,-0.03589212582335136,0.0019257095163465953,0.0031971765351070983,0.0007565931952885677
10259,3.280316005975881e-05,-7.59587165661998e-06,-5.352796108389165e-06,9.441011477475744e-06,-1.2251199620886385e-05,-2.9484633741104246e-05,9.417352800523472e-06,-3.675846584890812e-06,8.674738713393633e-06,2.0647286233281476e-05,1.6925225526345108e-05,1.1609795963682913e-05,-4.2449890814088584e-05,-3.292363729741861e-05,1.5965424323747973e-05,-1.256560867636559e-13,-3.5569341089473517e-11,-0.0008687031890210515,0.0036229967271814685,0.00011516526429802231
